bookID | title name | author | rental state | waitingQ
B1#Hunger Roof#Georgi Facello#Rented#R1 R2 R3
B2#Frogmen Breaking#Bezalel Simmel#Available#none
B3#Outbreak Divine#Parto Bamford#Rented#R3 R4 R5
B4#Young Language#Chirstian Koblick#Rented#none
B5#Stampede Disturbing#Kyoichi Maliniak#Rented#none
B6#World Leathernecks#Anneke Preusig#Available#none
B7#Goodfellas Salute#Tzvetan Zielinski#Available#none
B8#Core Suit#Saniya Kalloufi#Available#none
B9#Knock Warlock#Sumant Peac#Available#none
B10#Dangerous Uptown#Duangkaew Piveteau#Available#none
B11#Chocolate Duck#Mary Sluis#Available#none
B12#Heavyweights Beast#Patricio Bridgland#Available#none
B13#Trap Guys#Eberhardt Terkki#Available#none
B14#Grail Frankenstein#Berni Genin#Available#none
B15#Wisdom Worker#Guoxiang Nooteboom#Available#none
B16#Divorce Shining#Kazuhito Cappelletti#Available#none
B17#Groove Fiction#Cristinel Bouloucos#Available#none
B18#Pet Haunting#Kazuhide Peha#Available#none
B19#Network Peak#Lillian Haddadi#Available#none
B20#Forever Candidate#Mayuko Warwick#Available#none
